protein,feature_set,model,true,predicted,count
PA-X_protein,strain_only,LogisticReg,Avian,Avian,14
PA-X_protein,strain_only,LogisticReg,Avian,Human,6
PA-X_protein,strain_only,LogisticReg,Human,Avian,15
PA-X_protein,strain_only,LogisticReg,Human,Human,43
PA-X_protein,ptm_all,RandomForest,Avian,Avian,18
PA-X_protein,ptm_all,RandomForest,Avian,Human,2
PA-X_protein,ptm_all,RandomForest,Human,Avian,8
PA-X_protein,ptm_all,RandomForest,Human,Human,50
PA-X_protein,ptm_plus_strain_all,RandomForest,Avian,Avian,17
PA-X_protein,ptm_plus_strain_all,RandomForest,Avian,Human,3
PA-X_protein,ptm_plus_strain_all,RandomForest,Human,Avian,3
PA-X_protein,ptm_plus_strain_all,RandomForest,Human,Human,55
PA-X_protein,ptm_all,LogisticReg,Avian,Avian,20
PA-X_protein,ptm_all,LogisticReg,Avian,Human,0
PA-X_protein,ptm_all,LogisticReg,Human,Avian,18
PA-X_protein,ptm_all,LogisticReg,Human,Human,40
PA-X_protein,ptm_plus_strain_all,LogisticReg,Avian,Avian,17
PA-X_protein,ptm_plus_strain_all,LogisticReg,Avian,Human,3
PA-X_protein,ptm_plus_strain_all,LogisticReg,Human,Avian,8
PA-X_protein,ptm_plus_strain_all,LogisticReg,Human,Human,50
PA-X_protein,ptm_slow,RandomForest,Avian,Avian,18
PA-X_protein,ptm_slow,RandomForest,Avian,Human,2
PA-X_protein,ptm_slow,RandomForest,Human,Avian,21
PA-X_protein,ptm_slow,RandomForest,Human,Human,37
PA-X_protein,ptm_plus_strain_slow,RandomForest,Avian,Avian,15
PA-X_protein,ptm_plus_strain_slow,RandomForest,Avian,Human,5
PA-X_protein,ptm_plus_strain_slow,RandomForest,Human,Avian,17
PA-X_protein,ptm_plus_strain_slow,RandomForest,Human,Human,41
PA-X_protein,ptm_slow,LogisticReg,Avian,Avian,20
PA-X_protein,ptm_slow,LogisticReg,Avian,Human,0
PA-X_protein,ptm_slow,LogisticReg,Human,Avian,22
PA-X_protein,ptm_slow,LogisticReg,Human,Human,36
PA-X_protein,ptm_plus_strain_slow,LogisticReg,Avian,Avian,18
PA-X_protein,ptm_plus_strain_slow,LogisticReg,Avian,Human,2
PA-X_protein,ptm_plus_strain_slow,LogisticReg,Human,Avian,20
PA-X_protein,ptm_plus_strain_slow,LogisticReg,Human,Human,38
NP_protein,strain_only,RandomForest,Avian,Avian,63
NP_protein,strain_only,RandomForest,Avian,Human,0
NP_protein,strain_only,RandomForest,Avian,Swine,6
NP_protein,strain_only,RandomForest,Human,Avian,32
NP_protein,strain_only,RandomForest,Human,Human,0
NP_protein,strain_only,RandomForest,Human,Swine,110
NP_protein,strain_only,RandomForest,Swine,Avian,4
NP_protein,strain_only,RandomForest,Swine,Human,0
NP_protein,strain_only,RandomForest,Swine,Swine,64
NP_protein,strain_only,LogisticReg,Avian,Avian,63
NP_protein,strain_only,LogisticReg,Avian,Human,0
NP_protein,strain_only,LogisticReg,Avian,Swine,6
NP_protein,strain_only,LogisticReg,Human,Avian,32
NP_protein,strain_only,LogisticReg,Human,Human,0
NP_protein,strain_only,LogisticReg,Human,Swine,110
NP_protein,strain_only,LogisticReg,Swine,Avian,4
NP_protein,strain_only,LogisticReg,Swine,Human,0
NP_protein,strain_only,LogisticReg,Swine,Swine,64
NP_protein,ptm_all,RandomForest,Avian,Avian,65
NP_protein,ptm_all,RandomForest,Avian,Human,1
NP_protein,ptm_all,RandomForest,Avian,Swine,3
NP_protein,ptm_all,RandomForest,Human,Avian,26
NP_protein,ptm_all,RandomForest,Human,Human,112
NP_protein,ptm_all,RandomForest,Human,Swine,4
NP_protein,ptm_all,RandomForest,Swine,Avian,6
NP_protein,ptm_all,RandomForest,Swine,Human,31
NP_protein,ptm_all,RandomForest,Swine,Swine,31
NP_protein,ptm_plus_strain_all,RandomForest,Avian,Avian,68
NP_protein,ptm_plus_strain_all,RandomForest,Avian,Human,1
NP_protein,ptm_plus_strain_all,RandomForest,Avian,Swine,0
NP_protein,ptm_plus_strain_all,RandomForest,Human,Avian,27
NP_protein,ptm_plus_strain_all,RandomForest,Human,Human,113
NP_protein,ptm_plus_strain_all,RandomForest,Human,Swine,2
NP_protein,ptm_plus_strain_all,RandomForest,Swine,Avian,4
NP_protein,ptm_plus_strain_all,RandomForest,Swine,Human,30
NP_protein,ptm_plus_strain_all,RandomForest,Swine,Swine,34
NP_protein,ptm_all,LogisticReg,Avian,Avian,65
NP_protein,ptm_all,LogisticReg,Avian,Human,1
NP_protein,ptm_all,LogisticReg,Avian,Swine,3
NP_protein,ptm_all,LogisticReg,Human,Avian,26
NP_protein,ptm_all,LogisticReg,Human,Human,110
NP_protein,ptm_all,LogisticReg,Human,Swine,6
NP_protein,ptm_all,LogisticReg,Swine,Avian,3
NP_protein,ptm_all,LogisticReg,Swine,Human,32
NP_protein,ptm_all,LogisticReg,Swine,Swine,33
NP_protein,ptm_plus_strain_all,LogisticReg,Avian,Avian,66
NP_protein,ptm_plus_strain_all,LogisticReg,Avian,Human,3
NP_protein,ptm_plus_strain_all,LogisticReg,Avian,Swine,0
NP_protein,ptm_plus_strain_all,LogisticReg,Human,Avian,27
NP_protein,ptm_plus_strain_all,LogisticReg,Human,Human,111
NP_protein,ptm_plus_strain_all,LogisticReg,Human,Swine,4
NP_protein,ptm_plus_strain_all,LogisticReg,Swine,Avian,4
NP_protein,ptm_plus_strain_all,LogisticReg,Swine,Human,31
NP_protein,ptm_plus_strain_all,LogisticReg,Swine,Swine,33
NP_protein,ptm_fast,RandomForest,Avian,Avian,24
NP_protein,ptm_fast,RandomForest,Avian,Human,42
NP_protein,ptm_fast,RandomForest,Avian,Swine,3
NP_protein,ptm_fast,RandomForest,Human,Avian,58
NP_protein,ptm_fast,RandomForest,Human,Human,80
NP_protein,ptm_fast,RandomForest,Human,Swine,4
NP_protein,ptm_fast,RandomForest,Swine,Avian,15
NP_protein,ptm_fast,RandomForest,Swine,Human,23
NP_protein,ptm_fast,RandomForest,Swine,Swine,30
NP_protein,ptm_plus_strain_fast,RandomForest,Avian,Avian,63
NP_protein,ptm_plus_strain_fast,RandomForest,Avian,Human,6
NP_protein,ptm_plus_strain_fast,RandomForest,Avian,Swine,0
NP_protein,ptm_plus_strain_fast,RandomForest,Human,Avian,32
NP_protein,ptm_plus_strain_fast,RandomForest,Human,Human,107
NP_protein,ptm_plus_strain_fast,RandomForest,Human,Swine,3
NP_protein,ptm_plus_strain_fast,RandomForest,Swine,Avian,4
NP_protein,ptm_plus_strain_fast,RandomForest,Swine,Human,34
NP_protein,ptm_plus_strain_fast,RandomForest,Swine,Swine,30
NP_protein,ptm_fast,LogisticReg,Avian,Avian,12
NP_protein,ptm_fast,LogisticReg,Avian,Human,54
NP_protein,ptm_fast,LogisticReg,Avian,Swine,3
NP_protein,ptm_fast,LogisticReg,Human,Avian,29
NP_protein,ptm_fast,LogisticReg,Human,Human,109
